flux,max,min
T_AcOH,-0.875300258425,-1.18980005676
T_Ala,-30.5647476732,-37.3349050132
T_Arg,3.76097410619,1.28802976241
T_Asn,2.71600755434,1.70316829095
T_Asp,2.59961544505,1.68717599991
T_Cit,-1.22267997179,-1.8894912716
T_Cys2,0.511196548077,0.139494308493
T_FoOH,-7.06038558207,-7.98869245312
T_Glc,175.887115133,147.851548695
T_Glu,0.917006570759,-1.2569244481
T_Glx,23.7475926498,12.2165869257
T_Gln,10.1045226867,4.60075403746
T_Gly,-1.66029093287,-2.84899462723
T_His,1.48270763931,0.565767305359
T_Ile,1.88682988471,1.1465545418
T_Lac,-256.356508362,-310.698147265
T_Leu,3.41647671515,1.90461588358
T_Lys,2.23158110963,1.36308622422
T_Met,1.05804759983,0.715418521321
T_Phe,1.44306789818,0.939807656478
T_Pro,2.47719473725,1.40819372066
T_Pgl,-3.41539694305,-4.3096613528
T_Pyr,-2.16666544206,-3.06730417134
T_Ser,3.62275204283,1.6627659472
T_Thr,2.2881059453,1.11776523251
T_Trp,0.519326419618,0.163142861231
T_Tyr,1.33342043253,0.894131892013
T_Val,2.59632772829,1.88888797418
T_Amm,-5.4200484871,-29.8772484305
T_Prot,-19.8350626135,-45.5419134977
T_Carb,-1.3498360221,-2.91878974237
T_OA,-0.754139225708,-1.96671152042
T_DNA,-0.185028621749,-0.426099972948
T_RNA,-0.522545314396,-1.2583435516
